"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TWQXMT6F","journalArticle","2022","Dumitrescu, Bogdan; Baltoiu, Andra; Budulan, Stefania","Anomaly Detection in Graphs of Bank Transactions for Anti Money Laundering Applications","IEEE Access","","2169-3536","10.1109/ACCESS.2022.3170467","https://ieeexplore.ieee.org/document/9762926/","Our aim in this paper is to detect bank clients involved in suspicious activities related to money laundering, using the graph of transactions of the bank. Although we have a labeled real dataset, our target is not only to obtain relevant results on it, but also on random graphs in which typical anomaly patterns have been injected. So, we want simultaneously adequacy to the real data and robustness. Our method is based on designing new features; the most important are those resulting from the reduced egonet, which is the subgraph that remains from an egonet after eliminating the nodes connected with a single edge to the center; another feature is built by appealing to random walks and serves as indicator of circular ﬂows. Our features are added to usual egonet features and a general anomaly detection algorithm, in our case Isolation Forest, serves to detect the anomalies. Experiments on the real data and a comprehensive set of synthetic data show that our approach is adequate, robust and better than some previous methods.","2022","2023-10-19 21:49:33","2024-01-21 21:24:30","2023-10-19 21:49:33","47699-47714","","","10","","IEEE Access","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\EYA43UN5\Dumitrescu et al. - 2022 - Anomaly Detection in Graphs of Bank Transactions f.pdf; C:\Users\maroa\Zotero\storage\TD7CF8DW\9762926.html; ","notion://www.notion.so/Dumitrescu-et-al-2022-9d8f9fbb493b4ec88bb8a6a05b25a868","Scopus; notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZ2K3BIY","conferencePaper","2015","Cimini, Giulio; Squartini, Tiziano; Musmeci, Nicolò; Puliga, Michelangelo; Gabrielli, Andrea; Garlaschelli, Diego; Battiston, Stefano; Caldarelli, Guido","Reconstructing Topological Properties of Complex Networks Using the Fitness Model","Social Informatics","978-3-319-15168-7","","10.1007/978-3-319-15168-7_41","","A major problem in the study of complex socioeconomic systems is represented by privacy issues—that can put severe limitations on the amount of accessible information, forcing to build models on the basis of incomplete knowledge. In this paper we investigate a novel method to reconstruct global topological properties of a complex network starting from limited information. This method uses the knowledge of an intrinsic property of the nodes (indicated as fitness), and the number of connections of only a limited subset of nodes, in order to generate an ensemble of exponential random graphs that are representative of the real systems and that can be used to estimate its topological properties. Here we focus in particular on reconstructing the most basic properties that are commonly used to describe a network: density of links, assortativity, clustering. We test the method on both benchmark synthetic networks and real economic and financial systems, finding a remarkable robustness with respect to the number of nodes used for calibration. The method thus represents a valuable tool for gaining insights on privacy-protected systems.","2015","2023-10-19 21:52:13","2024-01-07 21:06:50","","323-333","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\maroa\Zotero\storage\ALJIZ767\Cimini et al. - 2015 - Reconstructing Topological Properties of Complex N.pdf; ","notion://www.notion.so/Cimini-et-al-2015-17ac9793333b47cc817b7e1cec99d557","notion","Complex networks; Network reconstruction; Exponential random graphs; Fitness model","Aiello, Luca Maria; McFarland, Daniel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24RD5DNN","preprint","2017","Emmert-Streib, Frank; Musa, Aliyu; Baltakys, Kestutis; Kanniainen, Juho; Tripathi, Shailesh; Yli-Harja, Olli; Jodlbauer, Herbert; Dehmer, Matthias","Computational Analysis of the structural properties of Economic and Financial Networks","","","","","http://arxiv.org/abs/1710.04455","In recent years, methods from network science are gaining rapidly interest in economics and finance. A reason for this is that in a globalized world the interconnectedness among economic and financial entities are crucial to understand and networks provide a natural framework for representing and studying such systems. In this paper, we are surveying the use of networks and network-based methods for studying economy related questions. We start with a brief overview of graph theory and basic definitions. Then we discuss descriptive network measures and network complexity measures for quantifying structural properties of economic networks. Finally, we discuss different network and tree structures as relevant for applications.","2017-10-12","2023-10-19 22:24:06","2024-01-21 21:28:33","2023-10-19 22:24:06","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1710.04455 [q-fin]","","C:\Users\maroa\Zotero\storage\XXU4KGDJ\1710.html; C:\Users\maroa\Zotero\storage\84NFYI46\Emmert-Streib et al. - 2017 - Computational Analysis of the structural propertie.pdf; ","notion://www.notion.so/Emmert-Streib-et-al-2017-ba9f90dc32fa4620b70163073fb15e97","notion; Overview","Quantitative Finance - Computational Finance","","","","","","","","","","","","","","","","","","","arXiv:1710.04455","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SNRRUIZ","journalArticle","2021","Torri, Gabriele; Giacometti, Rosella; Tichý, Tomáš","Network tail risk estimation in the European banking system","Journal of Economic Dynamics and Control","","0165-1889","10.1016/j.jedc.2021.104125","https://www.sciencedirect.com/science/article/pii/S0165188921000609","Measuring interconnectedness in a banking system to identify the potential transmission channels of systemic risk is a main issue for the analysis of financial stability. We develop a methodology based on conditional tail risk networks to assess the channels of transmission in a banking system and to identify the most relevant and/or fragile institutions. The networks are constructed using quantile graphical models and the proposed framework can be considered as a network extension of the ΔCoVaR approach by Adrian and Brunnermeier (2016). From the conditional tail risk networks we can then compute synthetic indices of systemic risk for each bank. An additional set of systemic risk indicators is computed by considering together the network of conditional tail risk and bank-specific indicators of credit risk (as an example we use the ratio of non-performing loans, NPL). The empirical analysis focuses on the European banking system and considers a panel of 36 representative banks. Among the main findings, we found evidence of regional clusters of interconnected banks, especially in crisis period. Moreover, in terms of interconnectedness alone, systemic risk is diffused relatively evenly across European banks, while the set of systemic indicators built using also NPL highlighted a concentration of risk in southern European countries.","2021-06-01","2023-10-19 22:28:23","2024-01-07 21:18:48","2023-10-19 22:28:23","104125","","","127","","Journal of Economic Dynamics and Control","","","","","","","","","","","","","ScienceDirect","","","","; C:\Users\maroa\Zotero\storage\FGFSV7U7\Torri et al. - 2021 - Network tail risk estimation in the European banki.pdf; C:\Users\maroa\Zotero\storage\RNFSXEKS\S0165188921000609.html","notion://www.notion.so/Torri-et-al-2021-9535429b8ebf4c9882bd6e48f4f5adad","notion","Financial networks; Systemic risk; CoVaR; Graphical models; Tail risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMUR4TTD","journalArticle","2012","Heise, S.; Kühn, R.","Derivatives and credit contagion in interconnected networks","The European Physical Journal B","","1434-6028, 1434-6036","10.1140/epjb/e2012-20740-0","http://link.springer.com/10.1140/epjb/e2012-20740-0","The importance of adequately modeling credit risk has once again been highlighted in the recent ﬁnancial crisis. Defaults tend to cluster around times of economic stress due to poor macro-economic conditions, but also by directly triggering each other through contagion. Although credit default swaps have radically altered the dynamics of contagion for more than a decade, models quantifying their impact on systemic risk are still missing. Here, we examine contagion through credit default swaps in a stylized economic network of corporates and ﬁnancial institutions. We analyse such a system using a stochastic setting, which allows us to exploit limit theorems to exactly solve the contagion dynamics for the entire system. Our analysis shows that, by creating additional contagion channels, CDS can actually lead to greater instability of the entire network in times of economic stress. This is particularly pronounced when CDS are used by banks to expand their loan books (arguing that CDS would oﬄoad the additional risks from their balance sheets). Thus, even with complete hedging through CDS, a signiﬁcant loan book expansion can lead to considerably enhanced probabilities for the occurrence of very large losses and very high default rates in the system. Our approach adds a new dimension to research on credit contagion, and could feed into a rational underpinning of an improved regulatory framework for credit derivatives.","2012-04","2023-10-19 22:42:31","2024-01-07 21:23:51","2023-10-19 22:42:31","115","","4","85","","Eur. Phys. J. B","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\GN7FBIHB\Heise and Kühn - 2012 - Derivatives and credit contagion in interconnected.pdf; ","notion://www.notion.so/Heise-K-hn-2012-bcdc3e278bf34f10b8ca6156719eda60","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBJC8MJJ","journalArticle","2023","Amini, Hamed; Chen, Yudong; Minca, Andreea; Qian, Xin","Clustering heterogeneous financial networks","Mathematical Finance","","1467-9965","10.1111/mafi.12407","https://onlinelibrary.wiley.com/doi/abs/10.1111/mafi.12407","We develop a convex-optimization clustering algorithm for heterogeneous financial networks, in the presence of arbitrary or even adversarial outliers. In the stochastic block model with heterogeneity parameters, we penalize nodes whose degree exhibit unusual behavior beyond inlier heterogeneity. We prove that under mild conditions, this method achieves exact recovery of the underlying clusters. In absence of any assumption on outliers, they are shown not to hinder the clustering of the inliers. We test the performance of the algorithm on semi-synthetic heterogenous networks reconstructed to match aggregate data on the Korean financial sector. Our method allows for recovery of sub-sectors with significantly lower error rates compared to existing algorithms. For overlapping portfolio networks, we uncover a clustering structure supporting diversification effects in investment management.","2023-06","2023-10-19 22:47:41","2024-01-07 21:29:00","2023-10-19 22:47:41","","","n/a","n/a","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/mafi.12407","","C:\Users\maroa\Zotero\storage\J7MJ9LIZ\Amini et al. - 2023 - Clustering heterogeneous financial networks.pdf; ","notion://www.notion.so/Amini-et-al-2023-d49b73b830ee4c269ac595f92cfd5178","notion","financial networks; clustering; community detection; overlapping portfolios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MXSJ8XT","journalArticle","2022","Marchese, Emiliano; Caldarelli, Guido; Squartini, Tiziano","Detecting mesoscale structures by surprise","Communications Physics","","2399-3650","10.1038/s42005-022-00890-7","https://www.nature.com/articles/s42005-022-00890-7","Abstract             The importance of identifying mesoscale structures in complex networks can be hardly overestimated. So far, much attention has been devoted to detect modular and bimodular structures on binary networks. This effort has led to the definition of a framework based upon the score function called ‘surprise’, i.e. a p-value that can be assigned to any given partition of nodes. Hereby, we make a step further and extend the entire framework to the weighted case: six variants of surprise, induced by just as many variants of the hypergeometric distribution, are, thus, considered. As a result, a general, statistically grounded approach for detecting mesoscale network structures via a unified, suprise-based framework is presented. To illustrate its performances, both synthetic benchmarks and real-world configurations are considered. Moreover, we attach to the paper a Python code implementing all variants of surprise discussed in the present manuscript.","2022-05-30","2023-10-19 22:56:41","2024-01-07 22:03:26","2023-10-19 22:56:41","132","","1","5","","Commun Phys","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\CF88853H\Marchese et al. - 2022 - Detecting mesoscale structures by surprise.pdf; ","notion://www.notion.so/Marchese-et-al-2022-c17ffa18a3864a95b46423f3e8455e36","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEEXQE57","journalArticle","2021","Wang, Tao; Xiao, Shiying; Yan, Jun; Zhang, Panpan","Regional and sectoral structures of the Chinese economy: A network perspective from multi-regional input–output tables","Physica A: Statistical Mechanics and its Applications","","0378-4371","10.1016/j.physa.2021.126196","https://www.sciencedirect.com/science/article/pii/S0378437121004696","A multi-regional input–output table (MRIOT) containing the transactions among the region-sectors in an economy defines a weighted and directed network. Using network analysis tools, we analyze the regional and sectoral structure of the Chinese economy with the province-sector MRIOTs of China in 2007 and 2012. Global analyses are done with network topology measures. Growth-driving province-sector clusters are identified with community detection methods. Influential province-sectors are ranked by weighted PageRank scores. The results have revealed a few interesting and telling insights. The level of inter-province activities increased with the rapid growth of the national economy, but not as fast as that of intra-province economic activities. Regional community structures were deeply associated with geographical factors. The community heterogeneity across the regions was high and the regional fragmentation increased during the study period. Quantified metrics assessing the relative importance of the province-sectors in the national economy echo the national and regional economic development policies to a certain extent.","2021-11-01","2023-10-19 23:39:00","2024-01-07 22:08:37","2023-10-19 23:39:00","126196","","","581","","Physica A: Statistical Mechanics and its Applications","Regional and sectoral structures of the Chinese economy","","","","","","","","","","","","ScienceDirect","","","","; C:\Users\maroa\Zotero\storage\FJ7D24UB\Wang et al. - 2021 - Regional and sectoral structures of the Chinese ec.pdf; C:\Users\maroa\Zotero\storage\VX5NNVBI\S0378437121004696.html","notion://www.notion.so/Wang-et-al-2021-d98048a5b33b4b00a852e6a3c3e38ccb","notion","Network analysis; Backbone structure; Dynamical analysis; Input–output table; Power law; Region-sector economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEWRC45S","journalArticle","2013","Soramäki, Kimmo; Cook, Samantha","SinkRank: An Algorithm for Identifying Systemically Important Banks in Payment Systems","Economics","","1864-6042","10.5018/economics-ejournal.ja.2013-28","https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2013-28/html","The ability to accurately estimate the extent to which the failure of a bank disrupts the financial system is very valuable for regulators of the financial system. One important part of the financial system is the interbank payment system. This paper develops a robust measure, SinkRank, that accurately predicts the magnitude of disruption caused by the failure of a bank in a payment system and identifies banks most affected by the failure. SinkRank is based on absorbing Markov chains, which are well-suited to model liquidity dynamics in payment systems. Because actual bank failures are rare and the data is not generally publicly available, the authors test the metric by simulating payment networks and inducing failures in them. They test SinkRank on several types of payment networks, including Barabási-Albert types of scale-free networks modeled on the Fedwire system, and find that the failing bank’s SinkRank is highly correlated with the resulting disruption in the system overall; moreover, the SinkRank algorithm can identify which individual banks would be most disrupted by a given failure.","2013-12-01","2023-10-21 12:15:34","2024-01-07 22:19:12","2023-10-21 12:15:34","","","1","7","","","SinkRank","","","","","","","en","De Gruyter expressly reserves the right to use all content for commercial text and data mining within the meaning of Section 44b of the German Copyright Act.","","","","www.degruyter.com","","Publisher: De Gruyter Open Access","","C:\Users\maroa\Zotero\storage\M8NU4QEJ\Soramäki and Cook - 2013 - SinkRank An Algorithm for Identifying Systemicall.pdf; ","notion://www.notion.so/Soram-ki-Cook-2013-76d2b8aec6d847359ef36357c014321c","notion","absorbing system; graph theory; Markov distance; Payment systems; systemic importance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4Y2RUWR","journalArticle","2021","Ebrahimi, Samaneh; Reisi-Gahrooei, Mostafa; Paynabar, Kamran; Mankad, Shawn","Monitoring sparse and attributed networks with online Hurdle models","IISE Transactions","","2472-5854, 2472-5862","10.1080/24725854.2020.1861390","https://www.tandfonline.com/doi/full/10.1080/24725854.2020.1861390","In this article we create a novel monitoring system to detect changes within a sequence of networks. Specifically, we consider sparse, weighted, directed, and attributed networks. Our approach uses the Hurdle model to capture sparsity and explain the weights of the edges as a function of the node and edge attributes. Here, the weight of an edge represents the number of interactions between two nodes. We then integrate the Hurdle model with a state-space model to capture temporal dynamics of the edge formation process. Estimation is performed using an extended Kalman Filter. Statistical process control charts are used to monitor the network sequence in real time in order to identify changes in connectivity patterns that are caused by regime shifts. We show that the proposed methodology outperforms alternative approaches on both synthetic and real data. We also perform a detailed case study on the 2007–2009 financial crisis. Demonstrating the promise of the proposed approach as an early warning system, we show that our method applied to financial interbank lending networks would have raised alarms to the public prior to key events and announcements by the European Central Bank.","2021-01-28","2023-10-21 12:25:54","2024-01-07 22:35:03","2023-10-21 12:25:54","1-14","","","","","IISE Transactions","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\96M9USQP\Ebrahimi et al. - 2021 - Monitoring sparse and attributed networks with onl.pdf; ","notion://www.notion.so/Ebrahimi-et-al-2021-e99c27ff544e4c1aa6ed16bf3446f02f","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ML6QDLYF","journalArticle","2021","Seabrook, Isobel E.; Barucca, Paolo; Caccioli, Fabio","Evaluating structural edge importance in temporal networks","EPJ Data Science","","2193-1127","10.1140/epjds/s13688-021-00279-6","https://epjdatascience.springeropen.com/articles/10.1140/epjds/s13688-021-00279-6","To monitor risk in temporal financial networks, we need to understand how individual behaviours affect the global evolution of networks. Here we define a structural importance metric—which we denote as $l_{e}$ —for the edges of a network. The metric is based on perturbing the adjacency matrix and observing the resultant change in its largest eigenvalues. We then propose a model of network evolution where this metric controls the probabilities of subsequent edge changes. We show using synthetic data how the parameters of the model are related to the capability of predicting whether an edge will change from its value of $l_{e}$ . We then estimate the model parameters associated with five real financial and social networks, and we study their predictability. These methods have applications in financial regulation whereby it is important to understand how individual changes to financial networks will impact their global behaviour. It also provides fundamental insights into spectral predictability in networks, and it demonstrates how spectral perturbations can be a useful tool in understanding the interplay between micro and macro features of networks.","2021-12","2023-10-21 12:38:59","2024-01-07 22:42:39","2023-10-21 12:38:59","1-23","","1","10","","EPJ Data Sci.","","","","","","","","en","2021 The Author(s)","","","","epjdatascience.springeropen.com","","Number: 1 Publisher: SpringerOpen","","C:\Users\maroa\Zotero\storage\B6CILB5P\Seabrook et al. - 2021 - Evaluating structural edge importance in temporal .pdf; ; C:\Users\maroa\Zotero\storage\CHNKX9Z8\supplement_13688_2021_279_MOESM1_ESM.pdf","notion://www.notion.so/Seabrook-et-al-2021-d1250f66d33e4cbe81a0c20a22c12bb4","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJ7PBTW6","journalArticle","2022","Ma, Desheng; Mankad, Shawn","CP-Squared: A method for change point detection in core–periphery networks","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2022.116660","https://www.sciencedirect.com/science/article/pii/S0957417422001464","Time series of networks are increasingly prevalent in modern data and pose unique challenges to pattern extraction and change detection. In this paper we develop and present a novel methodology to detect regime changes within a sequence of networks that have overlapping and evolving community structure. The core of the methodology is a non-negative matrix factorization that maximizes a Poisson likelihood subject to a penalty that accounts for sparsity in the network. By fitting the factorization model over a rolling window with a fast numerical optimization algorithm, change detection is accomplished by statistical monitoring of the matrix factors’ evolution. A novel statistic is used to characterize the overall network evolution as well as the contribution of each node to the change. We demonstrate that the proposed methodology compares favorably with alternative techniques for on-the-go network change detection using synthetic and real data. A detailed case study on the 2007–2009 financial crisis and the European sovereign debt crisis shows the promise of the methodology for regulators as it identifies particular banks that contributed to each crisis in addition to identifying changing market conditions.","2022-06-15","2023-10-21 12:44:22","2024-01-07 22:48:06","2023-10-21 12:44:22","116660","","","196","","Expert Systems with Applications","CP-Squared","","","","","","","","","","","","ScienceDirect","","","","; C:\Users\maroa\Zotero\storage\JLJHIMUP\Ma and Mankad - 2022 - CP-Squared A method for change point detection in.pdf; C:\Users\maroa\Zotero\storage\YXSSKBNE\S0957417422001464.html","notion://www.notion.so/Ma-Mankad-2022-953f2ab88bd64c74a0896560563bc488","notion","Systemic risk; Networks; Finance; Change detection; Matrix factorization; Non-negative matrix factorization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6F7SH89","journalArticle","2021","Barjašić, Irena; Štefančić, Hrvoje; Pribičević, Vedrana; Zlatić, Vinko","Causal motifs and existence of endogenous cascades in directed networks with application to company defaults","Scientific Reports","","2045-2322","10.1038/s41598-021-02976-8","https://www.nature.com/articles/s41598-021-02976-8","Abstract             Motivated by the problem of detection of cascades of defaults in economy, we developed a detection framework for an endogenous spreading based on causal motifs we define in this paper. We assume that the change of state of a vertex can be triggered either by an endogenous (related to the network) or an exogenous (unrelated to the network) event, that the underlying network is directed and that times when vertices changed their states are available. After simulating default cascades driven by different stochastic processes on different synthetic networks, we show that some of the smallest causal motifs can robustly detect endogenous spreading events. Finally, we apply the method to the data of defaults of Croatian companies and observe the time window in which an endogenous cascade was likely happening.","2021-12-15","2023-10-21 12:50:56","2024-01-07 22:54:45","2023-10-21 12:50:56","24028","","1","11","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\CDJTTC37\41598_2021_2976_MOESM1_ESM.pdf; C:\Users\maroa\Zotero\storage\TSTA8ZWI\Barjašić et al. - 2021 - Causal motifs and existence of endogenous cascades.pdf; ","notion://www.notion.so/Barja-i-et-al-2021-3597e03b0a6240adb0600dbab83e4fb6","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLQULXT5","journalArticle","2022","Ando, Tomohiro; Greenwood-Nimmo, Matthew; Shin, Yongcheol","Quantile Connectedness: Modeling Tail Behavior in the Topology of Financial Networks","Management Science","","0025-1909, 1526-5501","10.1287/mnsc.2021.3984","https://pubsonline.informs.org/doi/10.1287/mnsc.2021.3984","We develop a new technique to estimate vector autoregressions with a common factor error structure by quantile regression. We apply our technique to study credit risk spillovers among a group of 17 sovereigns and their respective ﬁnancial sectors between January 2006 and December 2017. We show that idiosyncratic credit risk shocks propagate much more strongly in both tails than at the conditional mean or median. Furthermore, we develop a measure of the relative spillover intensity in the right and left tails of the conditional distribution that provides a timely aggregate measure of systemic ﬁnancial fragility and that can be used for risk management and monitoring purposes.","2022-04","2023-10-21 13:05:57","2024-01-07 22:59:58","2023-10-21 13:05:57","2401-2431","","4","68","","Management Science","Quantile Connectedness","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\T7E55Z9D\Ando et al. - 2022 - Quantile Connectedness Modeling Tail Behavior in .pdf; ","notion://www.notion.so/Ando-et-al-2022-c0636aedd705458eb2767b4a6a95a956","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAFNVY87","journalArticle","2014","Mastrandrea, Rossana; Squartini, Tiziano; Fagiolo, Giorgio; Garlaschelli, Diego","Enhanced reconstruction of weighted networks from strengths and degrees","New Journal of Physics","","1367-2630","10.1088/1367-2630/16/4/043022","https://iopscience.iop.org/article/10.1088/1367-2630/16/4/043022","","2014-04-24","2023-10-21 16:16:20","2023-10-21 16:16:20","2023-10-21 16:16:20","043022","","4","16","","New J. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\4TT8643Z\Mastrandrea et al. - 2014 - Enhanced reconstruction of weighted networks from .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDG6HKIZ","journalArticle","2014","Nobi, Ashadun; Maeng, Seong Eun; Ha, Gyeong Gyun; Lee, Jae Woo","Effects of global financial crisis on network structure in a local stock market","Physica A: Statistical Mechanics and its Applications","","03784371","10.1016/j.physa.2014.03.083","https://linkinghub.elsevier.com/retrieve/pii/S0378437114002945","This study considers the effects of the 2008 global financial crisis on threshold networks of a local Korean financial market around the time of the crisis. Prices of individual stocks belonging to KOSPI 200 (Korea Composite Stock Price Index 200) are considered for three time periods, namely before, during, and after the crisis. Threshold networks are constructed from fully connected cross-correlation networks, and thresholds of cross-correlation coefficients are assigned to obtain threshold networks. At the high threshold, only one large cluster consisting of firms in the financial sector, heavy industry, and construction is observed during the crisis. However, before and after the crisis, there are several fragmented clusters belonging to various sectors. The power law of the degree distribution in threshold networks is observed within the limited range of thresholds. Threshold networks are fatter during the crisis than before or after the crisis. The clustering coefficient of the threshold network follows the power law in the scaling range.","2014-08","2023-10-21 16:19:22","2024-01-08 18:52:32","2023-10-21 16:19:22","135-143","","","407","","Physica A: Statistical Mechanics and its Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\PRJSU5SC\Nobi et al. - 2014 - Effects of global financial crisis on network stru.pdf; ","notion://www.notion.so/Nobi-et-al-2014-a63bb832d4d048a79c23b8a6cdfd2666","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQ4Y8DJU","journalArticle","2017","Chu, J.; Nadarajah, S.","A statistical analysis of UK financial networks","Physica A: Statistical Mechanics and its Applications","","03784371","10.1016/j.physa.2016.12.073","https://linkinghub.elsevier.com/retrieve/pii/S0378437116310524","In recent years, with a growing interest in big or large datasets, there has been a rise in the application of large graphs and networks to financial big data. Much of this research has focused on the construction and analysis of the network structure of stock markets, based on the relationships between stock prices. Motivated by Boginski et al. (2005), who studied the characteristics of a network structure of the US stock market, we construct network graphs of the UK stock market using same method. We fit four distributions to the degree density of the vertices from these graphs, the Pareto I, Fréchet, lognormal, and generalised Pareto distributions, and assess the goodness of fit. Our results show that the degree density of the complements of the market graphs, constructed using a negative threshold value close to zero, can be fitted well with the Fréchet and lognormal distributions.","2017-04","2023-10-21 17:21:02","2024-01-08 22:41:42","2023-10-21 17:21:02","445-459","","","471","","Physica A: Statistical Mechanics and its Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\NP6Z283B\Chu and Nadarajah - 2017 - A statistical analysis of UK financial networks.pdf; ","notion://www.notion.so/Chu-Nadarajah-2017-b623b6c76b534e819b35b2d4448f17d3","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6B84H98","conferencePaper","2021","Balan Umaithanu, Mahesh; Ravichandran, Vignesh; Rohith Srinivaas, M.; Subramanian Selvaraj, Venkat","DeepGRASS: Graph, Sequence and Scaled Embeddings on large scale transactions data","2021 Swedish Workshop on Data Science (SweDS)","","","10.1109/SweDS53855.2021.9638270","https://ieeexplore.ieee.org/document/9638270","Representation learning has redefined large scale data mining applications. The high dimensional embeddings learn complex associations that transcend the human cognitive understanding and have achieved great success in different business applications that encounter the curse of dimensionality, including fin-tech. Different algorithms learn embeddings that capture different types of associations, and it would be useful to learn embeddings that holistically learn multi-dimensional associations. In this paper, we propose DeepGRASS – an algorithm that embeds financial transactions using graph and sequence-based topologies. Our results show that these embeddings learn associations that are very comprehensive, holistic, and multi-dimensional.We deploy DeepGRASS in PayPal, and train it on multitude of transaction data with multi-dimensional features. The algorithm is two-fold: it embeds a bipartite graph with customer and merchant nodes and parallelly learns sequential associations using historical transactions along with other transactional features. These embeddings are then scaled and combined to learn multidimensional associations. We tested this on different predictive applications and find that the learning is generic and shows benchmarking performance in different predictive contexts. Based on offline metrics, back-tests, and sensitivity analysis on offline transaction data, we find very strong evidence to suggest that these embeddings provide the highest AUC score in predictive applications, highest co-efficient of determination in explaining variance and the features explain different types of associations. To our knowledge, this is the first application of embeddings that learn both graph and sequence-based associations on large scale financial transaction data and paves the way for a new generation of feature engineering in fin-tech.","2021-12","2023-10-21 19:07:25","2024-01-08 22:54:57","2023-10-21 19:07:25","1-6","","","","","","DeepGRASS","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\maroa\Zotero\storage\Q77H5R7Y\Balan Umaithanu et al. - 2021 - DeepGRASS Graph, Sequence and Scaled Embeddings o.pdf; ","notion://www.notion.so/Balan-Umaithanu-et-al-2021-4e9f6894fa5545e691bb87549a92ff31","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 Swedish Workshop on Data Science (SweDS)","","","","","","","","","","","","","","",""
